sample_id,ScoreType,nContigs,nARG,nMGE,nPAT,nARG_MGE,nARG_PAT,nARG_MGE_PAT,qARG,qMGE,qPAT,qARG_MGE,qARG_PAT,qARG_MGE_PAT,distance,RiskScore,Group
E457,Ecological,19197,196,1778,3574,19,81,7,0.01021,0.092619,0.186175,0.00099,0.004219409,0.000365,1.725392,38.446003,influent
E457,Human health,19197,9,1778,4,5,0,0,0.000469,0.092619,0.000208,0.00026,0,0,1.999635,1.823008,influent
E460,Ecological,10809,28,577,947,2,12,1,0.00259,0.053381,0.087612,0.000185,0.001110186,9.30E-05,1.730396,9.553243,final effluent
E460,Human health,10809,1,577,0,0,0,0,9.30E-05,0.053381,0,0,0,0,1.999954,0.231281,final effluent
E463,Ecological,16058,157,1637,2800,49,74,20,0.009777,0.101943,0.174368,0.003051,0.004608295,0.001245,1.723937,46.845576,influent
E463,Human health,16058,12,1637,3,8,0,0,0.000747,0.101943,0.000187,0.000498,0,0,1.999377,3.113189,influent
E465,Ecological,28750,89,1469,989,12,14,6,0.003096,0.051096,0.0344,0.000417,0.000486957,0.000209,1.729904,12.397147,final effluent
E465,Human health,28750,2,1469,0,1,0,0,7.00E-05,0.051096,0,3.50E-05,0,0,1.999948,0.260865,final effluent
E468,Ecological,17194,199,1972,3384,44,79,15,0.011574,0.114691,0.196813,0.002559,0.004594626,0.000872,1.723407,49.906543,influent
E468,Human health,17194,14,1972,1,7,0,0,0.000814,0.114691,5.80E-05,0.000407,0,0,1.999389,3.052821,influent
E469,Ecological,22933,31,711,187,1,1,0,0.001352,0.031003,0.008154,4.40E-05,4.36E-05,0,1.731246,4.649263,final effluent
E469,Human health,22933,1,711,0,0,0,0,4.40E-05,0.031003,0,0,0,0,1.999978,0.109011,final effluent
E472,Ecological,20486,65,1129,940,4,20,2,0.003173,0.055111,0.045885,0.000195,0.000976276,9.80E-05,1.730052,11.542408,influent
E472,Human health,20486,2,1129,0,0,0,0,9.80E-05,0.055111,0,0,0,0,1.999951,0.24406,influent
E476,Ecological,22135,5,609,85,1,0,0,0.000226,0.027513,0.00384,4.50E-05,0,0,1.731894,0.903499,final effluent
E476,Human health,22135,2,609,0,0,0,0,9.00E-05,0.027513,0,0,0,0,1.999955,0.225879,final effluent
E484,Ecological,21067,251,2117,4136,32,99,12,0.011914,0.100489,0.196326,0.001519,0.004699293,0.00057,1.723989,46.54382,influent
E484,Human health,21067,16,2117,6,3,0,0,0.000759,0.100489,0.000285,0.000142,0,0,1.999549,2.254219,influent
E487,Ecological,29274,24,479,1377,1,12,1,0.00082,0.016363,0.047038,3.40E-05,0.00040992,3.40E-05,1.731538,2.959848,final effluent
E487,Human health,29274,4,479,1,0,0,0,0.000137,0.016363,3.40E-05,0,0,0,1.999932,0.341583,final effluent
E496,Ecological,17423,106,1199,1200,15,27,4,0.006084,0.068817,0.068874,0.000861,0.001549676,0.00023,1.727915,23.880249,influent
E496,Human health,17423,10,1199,2,3,0,0,0.000574,0.068817,0.000115,0.000172,0,0,1.999627,1.865075,influent
E498,Ecological,27257,32,676,706,2,2,0,0.001174,0.024801,0.025902,7.30E-05,7.34E-05,0,1.731331,4.156511,final effluent
E498,Human health,27257,3,676,0,0,0,0,0.00011,0.024801,0,0,0,0,1.999945,0.275147,final effluent
E502,Ecological,20795,194,2207,2768,43,84,25,0.009329,0.106131,0.133109,0.002068,0.004039433,0.001202,1.724788,41.930593,influent
E502,Human health,20795,19,2207,22,6,0,0,0.000914,0.106131,0.001058,0.000289,0,0,1.999399,3.004834,influent
E506,Ecological,21601,142,2097,2163,25,24,4,0.006574,0.097079,0.100134,0.001157,0.00111106,0.000185,1.727487,26.348065,final effluent
E506,Human health,21601,25,2097,1,9,0,0,0.001157,0.097079,4.60E-05,0.000417,0,0,1.999213,3.933885,final effluent
E509,Ecological,22842,14,423,101,1,0,0,0.000613,0.018519,0.004422,4.40E-05,0,0,1.731672,2.18856,influent
E509,Human health,22842,9,423,0,1,0,0,0.000394,0.018519,0,4.40E-05,0,0,1.999781,1.094339,influent
E511,Ecological,16706,81,1524,1581,12,16,2,0.004849,0.091225,0.094637,0.000718,0.00095774,0.00012,1.728771,18.933124,final effluent
E511,Human health,16706,7,1524,0,2,0,0,0.000419,0.091225,0,0.00012,0,0,1.999731,1.346675,final effluent
E520,Ecological,25779,346,2526,4838,56,135,27,0.013422,0.097987,0.187672,0.002172,0.005236821,0.001047,1.72247,55.314559,influent
E520,Human health,25779,25,2526,12,6,0,0,0.00097,0.097987,0.000465,0.000233,0,0,1.999399,3.005531,influent
E522,Ecological,29251,59,1011,171,2,0,0,0.002017,0.034563,0.005846,6.80E-05,0,0,1.730848,6.946954,final effluent
E522,Human health,29251,2,1011,0,0,0,0,6.80E-05,0.034563,0,0,0,0,1.999966,0.17093,final effluent
